Lat,Lon,Elevation
48.575756,-116.05249,1135
48.60638,-115.92558,666
48.636845,-115.79852,1439
48.667156,-115.671295,1608
48.69731,-115.54393,1478
48.727306,-115.41638,1526
48.75714,-115.2887,764
48.786816,-115.16083,1262
48.81635,-115.03281,1041
48.845715,-114.90463,1019
48.874924,-114.776276,1966
48.90397,-114.6478,1784
48.932858,-114.519135,1495
48.961594,-114.39032,1321
48.99017,-114.26135,2267
49.018574,-114.13225,2057
49.046825,-114.00296,2181
49.07492,-113.873505,1295
49.102844,-113.74393,1421
49.13061,-113.6142,1315
49.158215,-113.484314,1316
49.18566,-113.35428,1265
49.212948,-113.224045,1162
49.24007,-113.09372,1142
49.267017,-112.96323,1169
49.293816,-112.83258,1125
49.320446,-112.70175,1186
45.521957,-126.271454,0
45.56454,-126.1593,0
45.606995,-126.04695,0
45.649345,-125.93442,0
45.691544,-125.82172,0
45.733627,-125.70882,0
45.77559,-125.59573,0
45.81742,-125.48247,0
45.859123,-125.36903,0
45.9007,-125.25542,0
45.942142,-125.14163,0
45.98347,-125.02765,0
46.024666,-124.91347,0
46.065727,-124.79913,0
46.106663,-124.6846,0
46.14747,-124.569885,0
46.188145,-124.45502,0
46.228683,-124.33995,0
46.269096,-124.22472,0
46.309395,-124.10925,0
46.34955,-123.99365,23
46.38957,-123.87787,119
46.42945,-123.7619,364
46.46921,-123.64574,163
46.508835,-123.52942,202
46.54833,-123.4129,286
46.587685,-123.2962,146
46.626907,-123.17934,185
46.666004,-123.06227,127
46.704952,-122.94505,58
46.743767,-122.82764,85
46.78246,-122.71005,151
46.82101,-122.592255,239
46.859425,-122.474304,121
46.89769,-122.3562,200
46.935833,-122.237885,258
46.973846,-122.119415,549
47.011703,-122.00073,503
47.049435,-121.88187,892
47.087017,-121.76288,618
47.124474,-121.64368,784
47.161785,-121.52429,1271
47.19895,-121.404755,610
47.23598,-121.285,1271
47.27288,-121.16507,868
47.30963,-121.04498,1103
47.34624,-120.92474,1172
