GridCell,Lat,Lon,μ,ϕ,ξ,q
10258,55.07932662963867,-123.71044921875,31.284391509210266,2.1308132875594907,0.11659701427251945,38.84749534424091
10259,55.1190071105957,-123.56929016113281,30.376533683835532,2.0547446390432182,0.32195709265269185,40.60048745116459
10260,55.15852737426758,-123.42788696289062,30.783722327569834,2.255605654497404,0.2065419247858718,40.03177768181505
10261,55.197879791259766,-123.28616333007812,30.411522621430127,2.318425483554254,0.0843708771016281,38.23735602559912
10262,55.237098693847656,-123.14413452148438,31.0058344308814,2.2529834694462045,0.030703170544779584,38.012253330369134
10263,55.276126861572266,-123.00186157226562,39.830919780915146,2.2395656748646573,0.10474399264512582,47.63381108971924
10264,55.31499099731445,-122.85932922363281,48.39727026654703,2.3805010640901605,0.24821834635720047,58.85261474727564
10265,55.353702545166016,-122.71649169921875,42.591007291247415,2.4487759289324353,0.21090085062843406,52.70298973119075
10266,55.39224624633789,-122.57337951660156,37.54053866382077,2.4935643546069812,0.15460603264331818,46.94060665236651
10267,55.43062210083008,-122.43002319335938,36.83680179251664,2.5620560374990697,0.17458137002676288,46.809853928150844
10268,55.46883010864258,-122.28636169433594,42.917528342290474,2.8115984910611385,0.05385732292250757,51.97355304603585
10269,55.506874084472656,-122.14241027832031,46.97687808797983,2.866556693991466,-0.023909753076044416,55.195816519474036
10270,55.544761657714844,-121.99818420410156,47.49692101788796,2.84947954864509,-0.014780725294175498,55.77733975530117
10271,55.58246612548828,-121.85369873046875,46.4043857164951,2.854037312359847,0.023160394237634038,55.1798080458467
10272,55.62001037597656,-121.70893859863281,47.63032152157923,2.9337205932642982,0.013981814691706245,56.52751025446611
10273,55.657379150390625,-121.56391906738281,49.17554366228889,2.876189728469562,0.0735807847726161,58.72379578165058
10274,55.6945686340332,-121.41860961914062,46.05776108982984,2.8181765957049203,0.10170342548854334,55.83010703066388
10275,55.73161697387695,-121.27297973632812,40.094896489375245,2.749299708631727,0.17551547941000512,50.81295186595128
10276,55.76846694946289,-121.12713623046875,38.275576651380305,2.6226769513549995,0.2405639129663255,49.64885842032085
10277,55.8051643371582,-120.98100280761719,39.699925079261476,2.635955580420801,0.2046929993618685,50.47479904727719
10278,55.841678619384766,-120.8345947265625,39.47373639866633,2.6589872130564673,0.15969454955274248,49.57935715567909
10279,55.87803649902344,-120.68789672851562,39.13139800691603,2.536349545103863,0.27663722006006797,50.81470302853958
10280,55.91421127319336,-120.54095458984375,40.56835034325728,2.6569888071459458,0.18541193459173466,51.0936399744337
